repo_id,owner,name,full_name,language,created_at,updated_at,stars,forks,open_issues,archived,age_days,html_url,star_band
920152150,tiehfood,thrifty,tiehfood/thrifty,Go,2025-01-21T16:48:26Z,2026-09-01T04:18:50Z,100,5,8,False,592,https://github.com/tiehfood/thrifty,0-100
62027438,joshuaferrara,go-satellite,joshuaferrara/go-satellite,Go,2016-06-27T05:19:57Z,2026-09-01T04:18:25Z,100,34,17,False,3722,https://github.com/joshuaferrara/go-satellite,0-100
228979992,v2rayA,shadowsocksR,v2rayA/shadowsocksR,Go,2019-12-19T05:14:11Z,2026-09-01T04:23:39Z,100,39,1,True,2452,https://github.com/v2rayA/shadowsocksR,0-100
296284521,hashicorp,hcl-lang,hashicorp/hcl-lang,Go,2020-09-17T09:46:06Z,2026-09-01T04:20:50Z,100,36,54,False,2179,https://github.com/hashicorp/hcl-lang,0-100
30476740,josharian,intern,josharian/intern,Go,2015-02-08T01:20:46Z,2026-09-01T04:19:15Z,100,9,1,False,4227,https://github.com/josharian/intern,0-100
217571102,INFURA,versus,INFURA/versus,Go,2019-10-25T16:12:23Z,2026-09-01T04:19:19Z,100,33,7,False,2507,https://github.com/INFURA/versus,0-100
63521368,nicholasjackson,building-microservices-in-go,nicholasjackson/building-microservices-in-go,Go,2016-07-17T08:08:50Z,2026-09-01T04:18:25Z,100,34,2,False,3702,https://github.com/nicholasjackson/building-microservices-in-go,0-100
84965093,sensepost,liniaal,sensepost/liniaal,Go,2017-03-14T15:25:41Z,2026-09-01T04:19:58Z,100,15,1,False,3462,https://github.com/sensepost/liniaal,0-100
195106483,dusk-network,dusk-blockchain,dusk-network/dusk-blockchain,Go,2019-07-03T18:19:15Z,2026-09-01T04:22:44Z,100,48,41,True,2620,https://github.com/dusk-network/dusk-blockchain,0-100
272861788,robpike,lisp,robpike/lisp,Go,2020-06-17T02:43:24Z,2026-09-01T14:20:42Z,999,52,0,False,2271,https://github.com/robpike/lisp,101-1K
232779165,05sec,Cardinal,05sec/Cardinal,Go,2020-01-09T10:06:39Z,2026-09-01T14:21:33Z,998,128,29,True,2431,https://github.com/05sec/Cardinal,101-1K
218724447,darkweak,souin,darkweak/souin,Go,2019-10-31T09:00:52Z,2026-09-01T14:21:53Z,997,84,74,False,2501,https://github.com/darkweak/souin,101-1K
