repo_id,full_name,language,month,contributors,new_contributors,returning_contributors
11730342,vuejs/vue,TypeScript,2018-02,4,3,1
11730342,vuejs/vue,TypeScript,2018-03,29,18,11
11730342,vuejs/vue,TypeScript,2018-04,6,3,3
11730342,vuejs/vue,TypeScript,2018-05,1,1,0
11730342,vuejs/vue,TypeScript,2018-06,1,0,1
11730342,vuejs/vue,TypeScript,2018-07,1,0,1
11730342,vuejs/vue,TypeScript,2018-08,7,4,3
11730342,vuejs/vue,TypeScript,2018-09,3,0,3
11730342,vuejs/vue,TypeScript,2018-10,33,26,7
11730342,vuejs/vue,TypeScript,2018-11,9,6,3
11730342,vuejs/vue,TypeScript,2018-12,45,30,15
11730342,vuejs/vue,TypeScript,2019-01,8,6,2
11730342,vuejs/vue,TypeScript,2019-02,12,8,4
11730342,vuejs/vue,TypeScript,2019-03,20,8,12
11730342,vuejs/vue,TypeScript,2019-04,11,5,6
11730342,vuejs/vue,TypeScript,2019-05,4,2,2
11730342,vuejs/vue,TypeScript,2019-06,3,1,2
11730342,vuejs/vue,TypeScript,2019-07,3,1,2
11730342,vuejs/vue,TypeScript,2019-08,4,2,2
11730342,vuejs/vue,TypeScript,2019-09,3,1,2
11730342,vuejs/vue,TypeScript,2019-10,7,4,3
11730342,vuejs/vue,TypeScript,2019-11,1,0,1
11730342,vuejs/vue,TypeScript,2019-12,4,2,2
11730342,vuejs/vue,TypeScript,2020-01,3,1,2
11730342,vuejs/vue,TypeScript,2020-02,5,3,2
11730342,vuejs/vue,TypeScript,2020-03,6,3,3
11730342,vuejs/vue,TypeScript,2020-04,3,2,1
11730342,vuejs/vue,TypeScript,2020-05,1,0,1
11730342,vuejs/vue,TypeScript,2020-06,2,1,1
11730342,vuejs/vue,TypeScript,2020-07,2,1,1
11730342,vuejs/vue,TypeScript,2020-08,4,0,4
11730342,vuejs/vue,TypeScript,2020-09,8,5,3
11730342,vuejs/vue,TypeScript,2020-10,4,3,1
11730342,vuejs/vue,TypeScript,2020-11,3,1,2
11730342,vuejs/vue,TypeScript,2020-12,1,0,1
11730342,vuejs/vue,TypeScript,2021-01,1,0,1
11730342,vuejs/vue,TypeScript,2021-02,0,0,0
11730342,vuejs/vue,TypeScript,2021-03,13,9,4
11730342,vuejs/vue,TypeScript,2021-04,14,10,4
11730342,vuejs/vue,TypeScript,2021-05,3,0,3
11730342,vuejs/vue,TypeScript,2021-06,6,0,6
11730342,vuejs/vue,TypeScript,2021-07,1,0,1
11730342,vuejs/vue,TypeScript,2021-08,4,0,4
11730342,vuejs/vue,TypeScript,2021-09,4,2,2
11730342,vuejs/vue,TypeScript,2021-10,1,0,1
11730342,vuejs/vue,TypeScript,2021-11,4,3,1
11730342,vuejs/vue,TypeScript,2021-12,2,0,2
11730342,vuejs/vue,TypeScript,2022-01,2,0,2
11730342,vuejs/vue,TypeScript,2022-02,3,0,3
11730342,vuejs/vue,TypeScript,2022-03,0,0,0
11730342,vuejs/vue,TypeScript,2022-04,2,1,1
11730342,vuejs/vue,TypeScript,2022-05,3,0,3
11730342,vuejs/vue,TypeScript,2022-06,4,2,2
11730342,vuejs/vue,TypeScript,2022-07,14,11,3
11730342,vuejs/vue,TypeScript,2022-08,10,7,3
11730342,vuejs/vue,TypeScript,2022-09,1,0,1
11730342,vuejs/vue,TypeScript,2022-10,8,5,3
11730342,vuejs/vue,TypeScript,2022-11,4,2,2
11730342,vuejs/vue,TypeScript,2022-12,4,4,0
11730342,vuejs/vue,TypeScript,2023-01,1,1,0
11730342,vuejs/vue,TypeScript,2023-02,1,1,0
11730342,vuejs/vue,TypeScript,2023-03,0,0,0
11730342,vuejs/vue,TypeScript,2023-04,1,1,0
11730342,vuejs/vue,TypeScript,2023-05,0,0,0
11730342,vuejs/vue,TypeScript,2023-06,0,0,0
11730342,vuejs/vue,TypeScript,2023-07,0,0,0
11730342,vuejs/vue,TypeScript,2023-08,0,0,0
11730342,vuejs/vue,TypeScript,2023-09,0,0,0
11730342,vuejs/vue,TypeScript,2023-10,6,4,2
11730342,vuejs/vue,TypeScript,2023-11,1,0,1
11730342,vuejs/vue,TypeScript,2023-12,6,3,3
