repo_id,full_name,language,month,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed
7905539,koral--/android-gif-drawable,Java,2025-09,0,0,0,5,4
7905539,koral--/android-gif-drawable,Java,2025-10,0,0,0,0,4
7905539,koral--/android-gif-drawable,Java,2025-11,2,2,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-12,1,1,1,0,2
7905539,koral--/android-gif-drawable,Java,2026-01,0,0,0,1,0
7905539,koral--/android-gif-drawable,Java,2026-02,1,1,1,2,2
7905539,koral--/android-gif-drawable,Java,2026-03,0,0,0,1,0
7905539,koral--/android-gif-drawable,Java,2026-04,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-05,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-06,1,1,1,5,5
7905539,koral--/android-gif-drawable,Java,2026-07,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-08,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-09,0,0,0,0,0
11730342,vuejs/vue,TypeScript,2013-07,0,0,0,0,0
11730342,vuejs/vue,TypeScript,2013-08,0,0,0,0,0
11730342,vuejs/vue,TypeScript,2013-09,0,0,0,9,1
11730342,vuejs/vue,TypeScript,2013-10,0,0,0,18,20
11730342,vuejs/vue,TypeScript,2013-11,0,0,0,14,18
11730342,vuejs/vue,TypeScript,2013-12,0,0,0,10,10
11730342,vuejs/vue,TypeScript,2014-01,0,0,0,11,8
11730342,vuejs/vue,TypeScript,2014-02,11,11,5,79,75
11730342,vuejs/vue,TypeScript,2014-03,6,6,0,57,57
11730342,vuejs/vue,TypeScript,2014-04,1,1,1,35,30
11730342,vuejs/vue,TypeScript,2014-05,6,5,3,32,26
11730342,vuejs/vue,TypeScript,2014-06,8,9,4,35,30
11730342,vuejs/vue,TypeScript,2014-07,6,5,1,41,31
11730342,vuejs/vue,TypeScript,2014-08,4,4,2,26,22
11730342,vuejs/vue,TypeScript,2014-09,2,3,1,35,62
11730342,vuejs/vue,TypeScript,2014-10,3,3,2,77,73
11730342,vuejs/vue,TypeScript,2014-11,8,7,2,69,70
11730342,vuejs/vue,TypeScript,2014-12,1,1,1,52,46
11730342,vuejs/vue,TypeScript,2015-01,2,0,0,36,19
11730342,vuejs/vue,TypeScript,2015-02,6,6,6,24,24
11730342,vuejs/vue,TypeScript,2015-03,6,6,0,25,14
11730342,vuejs/vue,TypeScript,2015-04,10,12,7,45,55
11730342,vuejs/vue,TypeScript,2015-05,8,7,4,61,86
11730342,vuejs/vue,TypeScript,2015-06,9,9,6,99,101
11730342,vuejs/vue,TypeScript,2015-07,2,3,2,114,112
11730342,vuejs/vue,TypeScript,2015-08,14,12,9,109,111
11730342,vuejs/vue,TypeScript,2015-09,14,16,8,133,135
11730342,vuejs/vue,TypeScript,2015-10,12,12,8,110,110
11730342,vuejs/vue,TypeScript,2015-11,19,20,11,154,148
11730342,vuejs/vue,TypeScript,2015-12,15,14,9,140,139
11730342,vuejs/vue,TypeScript,2016-01,20,16,14,138,137
11730342,vuejs/vue,TypeScript,2016-02,12,14,5,99,94
11730342,vuejs/vue,TypeScript,2016-03,21,20,15,131,135
11730342,vuejs/vue,TypeScript,2016-04,40,39,30,137,127
11730342,vuejs/vue,TypeScript,2016-05,52,53,37,115,116
11730342,vuejs/vue,TypeScript,2016-06,31,33,26,139,146
11730342,vuejs/vue,TypeScript,2016-07,16,16,10,145,143
11730342,vuejs/vue,TypeScript,2016-08,17,13,8,200,188
11730342,vuejs/vue,TypeScript,2016-09,35,39,25,172,171
11730342,vuejs/vue,TypeScript,2016-10,45,36,25,209,179
11730342,vuejs/vue,TypeScript,2016-11,46,57,39,229,249
11730342,vuejs/vue,TypeScript,2016-12,41,37,27,228,218
11730342,vuejs/vue,TypeScript,2017-01,29,26,21,176,176
11730342,vuejs/vue,TypeScript,2017-02,48,43,29,166,167
11730342,vuejs/vue,TypeScript,2017-03,59,54,39,249,239
11730342,vuejs/vue,TypeScript,2017-04,21,24,20,197,208
11730342,vuejs/vue,TypeScript,2017-05,40,38,26,186,176
11730342,vuejs/vue,TypeScript,2017-06,39,38,24,172,158
11730342,vuejs/vue,TypeScript,2017-07,31,29,16,216,220
11730342,vuejs/vue,TypeScript,2017-08,32,19,8,198,177
11730342,vuejs/vue,TypeScript,2017-09,39,53,32,197,228
11730342,vuejs/vue,TypeScript,2017-10,54,54,31,201,195
11730342,vuejs/vue,TypeScript,2017-11,37,36,23,143,154
11730342,vuejs/vue,TypeScript,2017-12,34,32,19,152,141
11730342,vuejs/vue,TypeScript,2018-01,32,16,5,199,173
11730342,vuejs/vue,TypeScript,2018-02,23,4,3,119,107
11730342,vuejs/vue,TypeScript,2018-03,50,71,44,166,177
11730342,vuejs/vue,TypeScript,2018-04,37,15,5,134,112
11730342,vuejs/vue,TypeScript,2018-05,27,7,1,146,134
11730342,vuejs/vue,TypeScript,2018-06,26,9,0,127,118
11730342,vuejs/vue,TypeScript,2018-07,25,7,0,119,94
11730342,vuejs/vue,TypeScript,2018-08,31,16,6,126,115
11730342,vuejs/vue,TypeScript,2018-09,12,7,2,119,104
11730342,vuejs/vue,TypeScript,2018-10,22,75,43,104,105
11730342,vuejs/vue,TypeScript,2018-11,24,23,13,94,89
11730342,vuejs/vue,TypeScript,2018-12,32,69,48,110,141
11730342,vuejs/vue,TypeScript,2019-01,45,35,11,87,83
11730342,vuejs/vue,TypeScript,2019-02,40,37,22,153,147
11730342,vuejs/vue,TypeScript,2019-03,35,28,23,159,147
11730342,vuejs/vue,TypeScript,2019-04,36,24,17,128,122
11730342,vuejs/vue,TypeScript,2019-05,20,13,5,108,96
11730342,vuejs/vue,TypeScript,2019-06,19,11,7,99,85
11730342,vuejs/vue,TypeScript,2019-07,26,14,6,95,87
11730342,vuejs/vue,TypeScript,2019-08,24,15,4,102,92
11730342,vuejs/vue,TypeScript,2019-09,24,18,5,101,91
11730342,vuejs/vue,TypeScript,2019-10,40,28,16,91,75
11730342,vuejs/vue,TypeScript,2019-11,15,9,4,77,67
11730342,vuejs/vue,TypeScript,2019-12,13,10,4,74,65
11730342,vuejs/vue,TypeScript,2020-01,23,14,6,67,59
11730342,vuejs/vue,TypeScript,2020-02,32,17,8,61,56
11730342,vuejs/vue,TypeScript,2020-03,25,14,7,76,69
11730342,vuejs/vue,TypeScript,2020-04,20,10,4,73,63
11730342,vuejs/vue,TypeScript,2020-05,14,6,1,40,34
11730342,vuejs/vue,TypeScript,2020-06,15,8,4,42,37
11730342,vuejs/vue,TypeScript,2020-07,25,16,2,47,44
11730342,vuejs/vue,TypeScript,2020-08,23,24,5,51,47
11730342,vuejs/vue,TypeScript,2020-09,11,23,11,50,53
11730342,vuejs/vue,TypeScript,2020-10,22,13,4,28,23
11730342,vuejs/vue,TypeScript,2020-11,17,13,3,34,27
11730342,vuejs/vue,TypeScript,2020-12,17,10,2,29,26
11730342,vuejs/vue,TypeScript,2021-01,12,9,4,38,34
11730342,vuejs/vue,TypeScript,2021-02,9,6,0,19,19
11730342,vuejs/vue,TypeScript,2021-03,24,38,19,41,49
