repo_id,full_name,language,month,commits,contributors,new_contributors,returning_contributors,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed,is_partial_month,meaningful_activity,project_age_months,project_age_years,observation_month_index,commit_rate_6m,active_month_ratio_12m,commit_volatility_6m,zero_commit_streak,commit_trend_6m,avg_contributors_6m,contributor_volatility_6m,new_contributor_rate_6m,returning_contributor_rate_6m,contributor_zero_streak,contributor_trend_6m,avg_pr_opened_6m,avg_issues_opened_6m,pr_merge_rate_6m,pr_net_flow_6m,issue_net_flow_6m,pr_activity_trend_6m,issue_activity_trend_6m,collaboration_trend_6m,activity_total,activity_change_3m,inactivity_streak,longest_inactivity_gap,observation_month,inactive_within_12m
7905539,koral--/android-gif-drawable,Java,2014-09-01,9,2,0,2,0,0,0,4,5,False,True,20,1.6666666666666667,21,9.166666666666666,1.0,4.11906138175515,0,-0.7714285714285719,1.8333333333333333,0.752772652709081,0.0909090909090909,0.9090909090909092,0,-0.1428571428571428,0.5,5.5,0.3333333333333333,0.0,3.0,-0.4285714285714285,-0.1428571428571433,-0.5714285714285713,20,0.3333333333333333,0,4,2014-09,0
10270250,react/react,JavaScript,2014-09-01,154,37,22,15,80,71,46,77,60,False,True,16,1.3333333333333333,17,172.66666666666666,1.0,38.666091949751824,0,4.171428571428579,37.833333333333336,5.7763887219149765,0.5154185022026432,0.4845814977973568,0,-0.2000000000000015,77.66666666666667,78.66666666666667,0.6314606741573033,21.0,110.0,1.3142857142857087,0.5714285714285648,1.8857142857143003,525,0.1266094420600858,0,0,2014-09,0
11730342,vuejs/vue,TypeScript,2014-09-01,141,2,1,1,2,3,1,35,62,False,True,14,1.1666666666666667,15,74.66666666666667,1.0,71.79043576038988,0,34.62857142857142,4.166666666666667,1.4719601443879742,0.48,0.52,0,-0.2571428571428569,4.5,34.0,0.4444444444444444,0.0,3.0,-0.1714285714285718,3.9142857142857097,3.7428571428571336,246,1.2990654205607477,0,0,2014-09,0
7905539,koral--/android-gif-drawable,Java,2014-10-01,31,1,0,1,0,0,0,10,8,False,True,21,1.75,22,12.833333333333334,1.0,9.806460455570432,0,2.3142857142857127,1.6666666666666667,0.816496580927726,0.1,0.9,0,-0.2285714285714285,0.5,6.0,0.3333333333333333,0.0,5.0,-0.8285714285714284,1.6285714285714283,0.8000000000000002,50,1.0833333333333333,0,4,2014-10,0
10270250,react/react,JavaScript,2014-10-01,196,30,19,11,83,85,61,83,73,False,True,17,1.4166666666666667,18,180.0,1.0,38.13135192987519,0,3.3714285714285728,37.16666666666666,6.493586579592709,0.5605381165919282,0.4394618834080717,0,-2.085714285714288,81.66666666666667,81.16666666666667,0.6503340757238307,41.0,110.0,3.914285714285703,0.4000000000000011,4.314285714285708,611,-0.0921248142644873,0,0,2014-10,0
11730342,vuejs/vue,TypeScript,2014-10-01,73,3,2,1,3,3,2,77,73,False,True,15,1.25,16,85.16666666666667,1.0,64.69750123974393,0,21.45714285714285,4.166666666666667,1.4719601443879742,0.56,0.44,0,-0.6571428571428569,4.833333333333333,41.0,0.4482758620689655,0.0,2.0,-2.2,15.199999999999994,12.999999999999996,234,0.2513368983957219,0,0,2014-10,0
7905539,koral--/android-gif-drawable,Java,2014-11-01,14,3,1,2,1,1,1,5,6,False,True,22,1.8333333333333333,23,12.333333333333334,1.0,9.626352718795768,0,3.3142857142857145,1.6666666666666667,0.816496580927726,0.1,0.9,0,0.2285714285714285,0.3333333333333333,6.166666666666667,0.5,0.0,3.0,0.1999999999999999,0.7714285714285715,0.9714285714285712,31,0.55,0,4,2014-11,0
10270250,react/react,JavaScript,2014-11-01,177,41,22,19,95,88,66,90,51,False,True,18,1.5,19,180.0,1.0,38.13135192987519,0,2.342857142857137,36.0,4.472135954999566,0.5648148148148148,0.4351851851851852,0,0.6285714285714271,81.5,84.5,0.6688034188034188,21.0,155.0,11.142857142857135,0.3714285714285777,11.514285714285704,608,0.1217712177121771,0,0,2014-11,0
11730342,vuejs/vue,TypeScript,2014-11-01,57,2,1,1,8,7,2,69,70,False,True,16,1.3333333333333333,17,92.5,1.0,56.906062945876,0,2.999999999999995,3.6666666666666665,1.6329931618554523,0.5909090909090909,0.4090909090909091,0,-0.7999999999999999,5.166666666666667,47.16666666666666,0.3870967741935484,0.0,-5.0,-1.028571428571429,18.65714285714285,17.628571428571426,215,-0.0772532188841201,0,0,2014-11,0
7905539,koral--/android-gif-drawable,Java,2014-12-01,24,2,0,2,0,0,0,9,6,False,True,23,1.9166666666666667,24,15.5,1.0,9.85393322486001,0,3.5142857142857142,1.8333333333333333,0.752772652709081,0.0909090909090909,0.9090909090909092,0,0.1428571428571427,0.1666666666666666,7.0,0.5,-1.0,6.0,0.1142857142857143,0.4571428571428569,0.5714285714285716,41,1.05,0,4,2014-12,0
10270250,react/react,JavaScript,2014-12-01,164,34,20,14,77,69,53,86,64,False,True,19,1.5833333333333333,20,186.0,1.0,30.351276744150265,0,-10.342857142857152,36.5,3.937003937005889,0.593607305936073,0.4063926940639269,0,-0.6571428571428563,85.66666666666667,85.0,0.7071583514099783,53.0,150.0,0.6000000000000152,0.5142857142857179,1.1142857142857292,547,0.0419047619047619,0,0,2014-12,0
11730342,vuejs/vue,TypeScript,2014-12-01,48,2,1,1,1,1,1,52,46,False,True,17,1.4166666666666667,18,98.0,1.0,48.95712409854158,0,-18.857142857142858,3.0,1.264911064067353,0.5555555555555556,0.4444444444444444,0,-0.5714285714285713,4.0,50.0,0.391304347826087,1.0,-4.0,-0.6285714285714286,13.028571428571428,12.399999999999991,151,-0.3861788617886179,0,0,2014-12,0
7905539,koral--/android-gif-drawable,Java,2015-01-01,14,3,1,2,1,1,1,7,7,False,True,24,2.0,25,16.5,1.0,9.224966124599048,0,1.7999999999999996,2.0,0.8944271909999159,0.1666666666666666,0.8333333333333334,0,0.3428571428571427,0.3333333333333333,6.666666666666667,1.0,0.0,1.0,0.514285714285714,0.6000000000000003,1.114285714285714,34,-0.32,0,4,2015-01,0
